sentence1,sentence2,similarity
水稻 高温 热害 的 防御 措施,咪 鲜 胺 噻 呋 酰胺 悬浮剂 对 水稻 纹枯病 的 防治效果,0
水稻 早衰 怎么办,水稻 早衰 的 防治 方法 有 哪些,1
稻 曲 病 最佳 防治 时间 是 何时,稻 曲 病 要 于 水稻 抽穗 前 多少 天 用 药剂 预防,1
怎样 防治 华南 早稻 育秧 期 低温 烂秧,水稻 育秧 烂秧 死苗 防治 方法,1
防治 稻飞虱 都 有些 什么 农药,哪些 药 可以 有效 的 防治 水稻 灰 飞 虱,0
如何 避免 水稻 贪 青 晚熟,怎样 防止 水稻 贪 青 晚熟,1
水稻 品种 生育 时期 由 哪些 因子 来 决定,水稻 播种期 的 决定 因素 有 哪些,0
穗 大粒 多 的 水稻 品种 易发 稻 曲 病 吗,水稻 恶 苗 病 的 发生 与 品种 温湿度 和 栽培 管理 等 因素 有关,0
水 直播 水稻 杂草 防治 措施 有 哪些,水稻 直播 田 杂草 防除 技术 是 什么,1
水稻 稻瘟病 防治 技术,防治 水稻 稻瘟病 有 什么 高招 呢,1
水稻 恶 苗 病 的 有效 防治,水稻 恶 苗 病 的 防治 须知,1
水稻 白化 苗 是 什么 原因 造成 的,水稻 秧苗 白化 是 什么 原因 造成 的,1
水稻 纹枯病 的 防治,水稻 条纹 叶枯病 的 症状 及 防治 措施,0
水稻 烂秧 是 怎样 造成 的,水稻 出现 白 穗 是 什么 原因 造成 的 该 怎么办,0
稻 纵 卷叶螟 在 安徽 中北部 稻 区 一年 发生 多少 代,稻 纵 卷叶螟 生长发育 的 适宜 温湿度 分别 是 多少,0
水稻 稻 曲 病 用 何种 药 防治 方法 最好,水稻 细菌性 条斑 病 用 何种 农药 防治效果 最好,0
目前 防治 稻飞虱 效果 最好 的 药 有 哪些,目前 防治 水稻 二化螟 最 有效 的 药剂 有 哪些,0
防止 水稻 早衰 的 技术 措施 有 哪些,水稻 的 产量 构成 如何 计算 理论 产量,0
水稻 纹枯病 防治 方法,水稻 纹枯病 防治 方法 简介,1
怎样 进行 水稻 理论 产量 的 测定 和 计算,水稻 产量 是 如何 测试 的,1
防治 水稻 水 象 甲 喷 什么 药 效果 好,水稻种子 处理 技术 如何 规范,0
水稻 抽穗期 稻 曲 病 和 稻瘟病 防治 技术,水稻 稻瘟病 的 防治 措施,1
水稻 直播 栽培 按 播种 方式 可 分为 哪几种 类型,水稻 直播 栽培 的 类型 有 哪些,1
水稻 螟虫 怎样 防治效果 好,防治 水稻 螟虫 的 方法,1
水稻 倒伏 后 补救措施 有 哪些,水稻 恶 苗 病 有 哪些 特征,0
稻 曲 病 侵染 的 主要 时期 在 什么 时期,防治 水稻 稻 曲 病 最好 在 什么 时间 有 哪些 比较 有效 的 药剂,1
水稻 潜 叶 蝇 有 什么 危害,水稻 条纹 叶枯病 危害 有 什么 症状 怎么样 防治,0
单季稻 抽穗 扬 花期 遇到 连阴雨 天气 如 防治 稻 曲 病,稻 曲 病 是 怎么回事 防治 方法 有 哪些,1
如何 诊断 稻 白 叶枯病,水稻 白 叶枯病 发病 条件 如何,0
怎样 确定 水稻 破口 前天,怎样 确定 水稻 播种期,0
水稻 纵 卷叶螟 如何 防治,禾苗 有 稻 纵 卷叶螟 怎样 处理,1
水稻 纹枯病 发生 有 什么 特点,水稻 干 尖 线虫病 的 发生 特点 是 什么,0
水稻 烂秧 的 主要 原因 有 哪些,水稻 秧田 黑 根 腐烂 秧 是 什么 原因,1
水稻 稻飞虱 分 几种,河北省 发生 的 稻飞虱 主要 种类 有 哪几种,1
水稻 四种 叶 瘟病 与 水稻 胡麻 斑 病 叶片 上 斑 病 正反面 是否 产生 灰绿色 的 霉 层,水稻 分蘖期 田间 杂草 很多 主要 是 鸭舌 草 水花生 等 适宜 用 二甲 四氯 防治 吗,0
水稻 坐 蔸 发生 原因 及其 防治 措施,水稻 基 腐 病 的 发生 原因 和 防治 措施 有 哪些,0
水稻 旱育稀植 的 施肥 原则,水稻 的 旱育稀植 栽培技术 要点,0
水稻 细菌性 条斑 病 如何 防治,水稻 细菌性 条斑 病 在 什么 条件 下 发生 严重 如何 防治,0
水稻 二化螟 的 防治 策略 是 什么,水稻 二化螟 虫 如何 防治,1
水稻 恶 苗 病 的 防治 技术 意见,水稻 恶 苗 病 的 防治 方法,1
如何 防治 水稻 的 条纹 叶枯病,水稻 条纹 叶枯病 防治 措施,1
褐 飞 虱 在 北纬 多少度 以南 的 海南省 南部 为 终年 繁殖 区,水稻 稻 曲 病 的 发生 与 防治 措施,0
水稻 恶 苗 病 有 哪些 症状 如何 防治,水稻 恶 苗 病 的 苗期 症状 是 什么,1
如何 防治 水稻 恶 苗 病,防治 水稻 恶 苗 病 做好 什么 是 关键,1
防治 灰 飞 虱 的 策略 是 什么,稻飞虱 的 防治 策略 是 什么,0
怎样 提高 水稻 的 结实率,问 怎样 避开 高温 对 水稻 结实 的 影响,0
水稻 稻瘟病 防治 要点,稻瘟病 的 防治 方法,1
水稻 白 叶枯病 的 发病 症状,水稻 白 叶枯病 的 症状,1
稻飞虱 怎么 防治,稻飞虱 的 防治 要点,1
水稻 的 药害 症状 有 哪些,水稻 药害 有 哪些 症状,1
如何 防治 稻 水 象 甲,如何 识别 与 防治 水稻 赤 枯 病,0
水稻 出现 烂秧 的 原因 有 哪些 怎么 补救,水稻 纹枯病 的 危害 症状 和 防治 方法,0
有 什么 特效药 可 防治 稻瘟病,水稻 扬 花期 如何 预防 高温 热害,0
如何 防治 水稻 穗 颈 瘟,水稻 穗 颈 瘟 的 防治 要点,1
如何 防治 水稻 稻 水 螟,水稻 纹枯病 致病菌 是 什么,0
水稻 倒伏 原因 有 哪些,水稻 倒伏 的 原因,1
水稻 纹枯病 危害 与 识别,水稻 纹枯病 识别 和 防治,1
水稻 一生 对 水分 最 敏感 是 什么 时期,直播 杂交 水稻 比较 好 的 品种 有 哪些,0
如何 确定 早 季 水稻 免耕 抛秧 的 播种期,如何 确定 水稻 的 适宜 播种期,1
涝 后 水稻 易发 稻瘟病 纹枯病 怎么 防治,防治 稻瘟病 的 原则 及 注意事项,1
水稻种子 的 处理 技术,有机 水稻 种植 稻 鸭 共 作 的 技术 要点 是 什么,0
水稻 浸种 前 为什么 要 晒种 晒种 要 注意 什么,水稻 为什么 要 进行 浸种 催芽,0
吡 嘧 磺 隆 在 水稻 移栽 田 内 使用 除草 会 产生 药害 吗 若 产生 药害 如何 补救,水稻 一代 二化螟 如何 防治,0
水稻 机 插秧 育秧 技术 要点,水稻 旱育稀植 的 施肥 原则,0
如何 防止 水稻 秧苗 徒长,水稻 秧苗 徒长 了 怎么办,1
如何 有效 地 防治 水稻 螟虫,防治 水稻 螟虫 的 方法,1
水稻 穗 颈 瘟 防治 时期,水稻 穗 颈 瘟 的 防治 时间 及 防治 化学 药剂 有 哪些,0
水稻 白 叶 枯 怎么 防治,水稻 白 叶枯病 的 防治 技术,1
稻田 青苔 怎么 除掉,稻 虾 共生 田 怎么 除草 效果 好,0
直播 田 水稻 使用 什么 除草剂 比较 好,水稻 本田 千金子 应选 用 的 除草剂 及 施药 方法 是 什么,0
稻田 青苔 怎么 除掉,如何 防治 水稻 稻 褐 飞 虱,0
防治 水稻 螟虫 的 方法,水 直播 水稻 杂草 防治 措施 有 哪些,0
如何 防治 水稻 卷叶虫,如何 喷药 防治 水稻 稻飞虱 和 卷叶螟,0
当前 及 未来 天 高温 如何 加强 水稻 管理,高温 季节 的 水稻 田间管理,1
防治 水稻 白 叶枯病 的 药剂 有 哪些,目前 防治 水稻 条纹 叶枯病 药剂 有 哪些,0
水稻 如何 防 倒伏,防止 水稻 倒伏 的 技术,1
水稻 赤 枯 病症状 有 哪几种 类型,水稻 白 叶枯病 表现 的 症状 有 几种 类型,0
请 注意 这些 容易 产生 药害 的 农药,稻飞虱 的 发生 有 何 特点 了解 这些 对 生产实践 有 何 指导意义,0
如何 防止 水稻 苗期 药害 的 发生,水稻 长 穗 期 的 冷害 防治 方法 有 哪些,0
水稻 灰 飞 虱 的 防治 方法 有 哪些,水稻 灰 飞 虱 防治 措施,1
水稻 抽穗 扬 花期 遇 高温 对 水稻 产量 有 影响 吗,水稻 抽穗 扬 花期 遇 高温 天气 应 采取 哪些 措施,0
水稻 条纹 叶枯病 的 发生 与 防治,水稻 条纹 叶枯病 的 防治 措施,1
水稻田 三棱 草 防除 技术,什么 是 稻瘟病,0
怎样 防止 水稻 贪 青 晚熟,防止 水稻 贪 青 的 技术 措施 有 哪些,1
早稻 后期 稻飞虱 发生 动态 及 如何 防治,稻飞虱 如何 防治,1
水稻 发生 药害 有 哪些 现象,水稻 条纹 叶枯病 主要症状 是 什么,0
杂交 水稻种子 浸种 催芽 技术,如何 进行 水稻种子 的 浸种 催芽 浸种 催芽 过程 中 应 特别 注意 哪些 事项,0
水稻 恶 苗 病 在 秧田 期 就 表现 症状 吗,水稻 恶 苗 病 有 哪些 症状,1
水稻 二化螟 防治 措施,水稻 虫害 二化螟 发生 及 防治 技术,1
水稻 白 叶枯病 的 防治 措施 有 哪些,水稻 白 叶枯病 造成 田里 水稻 大部分 叶 尖 枯黄 怎么 防治,1
水稻 分蘖 最 适宜 的 水稻 水温 是 多少度,在 生产 上 怎么 防止 水稻 倒伏 发生,0
防治 水稻 恶 苗 病 最 经济 有效 的 方法 是 什么,水稻 病毒 病 是 什么 原因 引起 的 在 什么 时期 如何 防治效果 最好,0
水稻 稻飞虱 的 发生 特点 及 防治 对策 如何,我 是 贵州 的 水稻 黑 条 矮 缩 病 发生 特点 及 防治 方法,0
水稻 药害 的 补救 办法,水稻 除草剂 药害 的 补救措施,1
水稻 纹枯病 的 防治,简述 水稻 纹枯病 的 防治 技术,1
水稻 胡麻 斑 病防治,水稻 胡麻 斑 病防治 措施 有 哪些,1
水稻 稻飞虱 的 发生 规律 及 防治 方法,水稻 褐 飞 虱 的 发生 规律 是 什么 怎样 针对性 防治,0
水稻 进入 灌浆 期 稻飞虱 的 防治 指标 是 多少,造成 水稻 秧苗 徒长 的 原因,0
加强 对 水稻 负 泥 虫 的 认识 和 防治,水稻 负 泥 虫 防治 技术,1
水稻 直播 如何 有效 防除 杂草,如何 利用 高效 低毒 低 残留 农药 对 水稻 纹枯病 进行 有效 防治,0
水稻 倒伏 原因 及 防治 措施,水稻 坐 蔸 发生 原因 及其 防治 措施,0
喷施 多 效 唑 防止 水稻 徒长 在 什么 时 效果 好,喷施 多 效 唑 防止 水稻 徒长 的 时期 应 在 什么 时候,1
水稻 低温 冷害 的 防御 措施 有 哪些,水稻 如何 合理 施肥,0
水稻 二化螟 怎么 防治,什么 药剂 防治 水稻 二化螟 大龄 幼虫 效果 最佳,0
水稻 为何 会 倒伏,水稻 倒伏 的 原因 是 什么,1
水稻 烂秧 的 原因 及 防治 方法,水稻 烂秧 的 原因 是 什么,1
水稻 怎样 避免 高温 热害,水稻 扬 花期 如何 预防 高温 热害,1
水稻 稻瘟病 发生 规律,水稻 稻瘟病 发生 规律 和 症状,1
怎么样 防治 水稻 基 腐 病,水稻 基 腐 病 怎样 防治效果 好,1
对 水稻 危害 较大 的 稻飞虱 主要 有 哪几种,稻飞虱 有 哪些 类型,1
水稻 机 插秧 大田 管理 技术,水稻 为何 会 倒伏,0
南方 水稻 黑 条 矮 缩 病 防控 措施 是 什么,目前 防治 水稻 稻瘟病 的 药剂 有 哪些,0
水稻 烂秧 主要症状 及 防治 措施,水稻 烂秧 病防治 措施 有 哪些,1
如何 防治 黑 尾 叶蝉,如何 防治 水稻 叶 瘟病,0
水稻 条纹 叶枯病 防治 技术,水稻 条纹 叶枯病 的 主要症状 是 什么 如何 防治,0
如何 防治 水稻 烂秧 病,直播 水稻 应 注意 哪些 问题,0
红 根 稗 草 如何 防除,在 干旱 缺水 情况 下 水稻 如何 育秧,0
什么 原因 会 造成 水稻 颖 壳 合 不 拢 不 结实,造成 水稻 大量 不 结实 的 原因 除草剂 的 除外,1
水 稻瘟病 防治 方法,稻瘟病 的 防治 方法 是 什么,1
水稻 盘 育 机 插秧 技术,水稻 机 插秧 育秧 技术,0
直播 田 水稻 使用 什么 除草剂 比较 好,单季稻 直播 田 中叶 稗 草 怎么 除掉 用 什么 除草剂 最佳,0
晚稻 机 插秧 化学 除草 技术 要点,水稻 肥 床 旱育稀植 技术,0
水稻 纹枯病 的 防治 特效药,水稻 纹枯病 防治 什么 药剂 最佳,1
白背飞虱 一年 发生 几代,水稻 恶 苗 病 的 病源 是 什么,0
在 干旱 缺水 情况 下 要 怎样 育 足 水稻 秧苗,如何 提高 春耕 水稻种子 发芽率,0
水稻 已经 发生 稻 曲 病 了 用 什么 药剂 才能 把 霉 球 打 掉,防治 稻 曲 病 用 哪些 药物 效果 较 好,1
水稻 螟虫 的 防治 措施,水稻 赤 枯 病 如何 加强 防治,0
水稻 恶 苗 病 的 防治 须知,水稻 恶 苗 病 的 发生 及 防治 措施,0
怎样 确定 水稻 播种期,水稻 叶枕 瘟 防治,0
水稻 白 叶枯病 怎么 防治,水稻 白 叶枯病 的 防治 方法 是 什么,1
水稻 缺 钾 症状 及 防治 措施,怎样 识别 和 防治 稻 曲 病,0
水稻 纹枯病 及 两 迁 害虫 的 防治 方法 是 什么,水稻 纹枯病 怎样 防治,1
水稻 遭受 污水 灌溉 后 有 什么 症状,水稻 被 工业 污水 灌溉 有 什么 防治 方法,0
稻 曲 病 侵染 的 主要 时期 在 什么 时期,稻 曲 病 的 发生 很 严重 在 什么 时期 防治效果 最好,1
水稻 白背飞虱 防控 对策,哪些 药剂 能 防治 水稻 白背飞虱,0
水稻 浸种 催芽 有 什么 好处,问 水稻 晒种 有 什么 好处,0
水稻 水 象 甲 怎样 防治,蒙古 象 甲虫 的 防治 方法,1
什么 时期 缺水 严重 影响 水稻 的 产量,水稻 对 水分 缺乏 最 敏感 的 时期 是 什么 时候,0
水稻 对 水分 缺乏 最 敏感 的 时期 是 什么 时候,水稻 对 水分 缺乏 最 敏感 的 时期 是 哪个 时期,1
什么 可以 影响 水稻 产量,什么 时期 缺水 严重 影响 水稻 的 产量,0
水稻 发生 了 除草剂 药害 该 怎么办,水稻 除草剂 药害 的 补救措施,1
水稻 纹枯病 有 哪些 症状,水稻 细菌性 褐 条 病 有 哪些 症状,0
水稻 稻 曲 病 在 什么 时期 防治 最好,水稻 稻 曲 病 的 防治 适 期,1
菊酯 类 农药 的 使用 是不是 会 导致 稻飞虱 发生 严重,水稻 螟虫 对 水稻 有 哪些 危害,0
水稻 稻 曲 病 的 防治 方法 有 哪些,水稻 稻 曲 病 的 防治 方法 有 那些,1
采取有效 措施 防治 水稻 稻瘟病,防治 水稻 稻瘟病 有 哪些 要 注意 的 问题,1
水稻 烂秧 及 防治 方法,水稻 烂秧 防治 技术 措施,1
水稻 二化螟 如何 防治,水稻 虫害 二化螟 发生 及 防治 技术,1
水稻 稻瘟病 防治 措施,稻瘟病 有 什么 防控 技术 措施,1
水稻 发芽 最低气温 是 多少,水稻种子 发芽 的 最适 温度 为 多少度,0
水稻 立枯病 症状 及 防治,为什么 水稻 播种 前 要 进行 晒种,0
水稻 纹枯病 的 防治 特效药,防除 水稻 纹枯病 什么 药 效果 好,1
水稻 稻瘟病 的 种类 及 发病 症状,稻瘟病 的 病状 是 什么,1
稻 鸭 互 作 可以 产生 哪些 效益,稻 鸭 共生 有 哪些 好处,1
水稻 穗 颈 瘟 是 水稻 抽穗期 发生 的 病害 吗,水稻 受 二化螟 危害 出现 白 穗 症状 的 生育 时期 是 哪个 时期,0
水稻 安全 储藏 安全 水 是 多少,水稻种子 安全 贮藏 的 水分 含量,1
水稻 条纹 叶枯病 主要症状 是 什么,水稻 条纹 叶枯病 危害 有 什么 症状 怎么样 防治,1
哪 省 是 中国 栽培 高粱 面积 最大 总产量 最高 的 省份,制约 水稻 产量 提高 的 主要 因素 有 哪些,0
在 防治 水稻 条纹 叶枯病 中 应 注意 哪 事项,对 水稻 条纹 叶枯病 的 防治 策略,1
对 稻瘟病 采取 哪些 措施 防治,水稻 稻瘟病 的 防治 方法 有 哪些,1
怎样 防治 稻田 稻飞虱,水稻 稻飞虱 为害 严重 怎样 防治,1
水稻 稻 曲 病 用 什么 药剂 防治,防治 水稻 稻 曲 病 最好 在 什么 时间 有 哪些 比较 有效 的 药剂,0
水稻 雨 后 大批 倒伏 是 什么 原因,水稻 倒伏 后 补救措施 是 什么,0
水稻 稻 纵 卷叶螟 危害 特征 及 防治 方法,为什么 机 插秧 栽 后 返青 缓 苗期 较 常规 手 插秧 长,0
水稻 遭遇 高温 应对 措施 有 哪些,防御 水稻 高温 热害 的 方法 有 哪些,1
水稻 收获 后 水分 少于 多少 才能 贮藏,水稻 贮存 的 安全 水分 标准 是 多少,1
稻 白 叶枯病 是 由 什么 病菌 侵害 引起 的,水稻 条纹 叶枯病 的 传播 途径 有 哪些,0
什么 是 水稻 障碍性 冷害 怎么 避免,水稻 营养障碍 的 原因 是 什么,0
水稻 的 科学 施肥 方法 主要 要点,水稻 科学 施肥 控 水 技术,1
预防 南方 水稻 黑 条 矮 缩 病,南方 水稻 黑 条 矮 缩 病 怎么 防治,0
防治 水稻 二化螟 比较 好 的 药剂 是 什么,水稻 稻 曲 病 与 水稻 品种 有关 吗,0
水稻 防止 烂秧 的 主要 途径 是 什么,水稻 烂秧 的 主要 原因 是 什么,0
水稻 水 象 甲 怎样 防治,水稻 稻 水 象 甲 怎样 防治效果 好,1
水稻 稻 曲 病 最佳 防治 时期 如何 确定,水稻 稻 曲 病 的 发生 有 哪些 特点 什么 时间 防治效果 最好,1
水稻 细菌性 基 腐 病 的 发生 发展 与 水稻 品种 和 什么 的 关系 最为 密切,水稻 白 叶枯病 在 水稻 全生育期 均 可 发生 由于 环境 条件 品种 抗性 和 侵染 部位 的 不同 其 症状 类型 也 不同 可 分为 哪 三种 类型,0
水稻 稻 曲 病 的 防治,水稻 稻 曲 病 的 防治 要点,1
稻飞虱 的 成虫 在 形态 上 有 何 主要 特点,在 稻田 养蟹 中 应 注意 什么 问题,0
水稻 品种 混杂 退化 的 主要 原因 是 什么,水稻 品种 混杂 退化 的 原因 有 哪些,1
水稻 出现 早 穗 现象 是 什么 原因,水稻 出现 早 穗 现象 的 主要 原因 是 什么,1
防治 水稻田 鸭舌 草 的 农药 是 什么,旱 直播 稻田 杂草 防治 重点 是 什么 时候 发生 的 杂草,0
水稻 条纹 叶枯病 的 主要症状 是 什么 如何 防治,水稻 条纹 叶枯病 的 症状 特点 如何,1
